,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hiden_dims,param_hiden_layers,param_input_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,epoch
0,3.930440068244934,0.09879483054238582,0.051973724365234376,0.0014374021043245427,64,1,100,"{'hiden_dims': 64, 'hiden_layers': 1, 'input_size': 100}",0.9322033898305084,0.9767441860465116,0.94,0.9791666666666666,0.9166666666666666,1.0,0.8793103448275862,0.96,0.9833333333333333,0.9387755102040817,0.9506200097575354,0.03453123207483479,13,75
1,4.167541790008545,0.07239556876474434,0.08714869022369384,0.09141539067724092,64,2,100,"{'hiden_dims': 64, 'hiden_layers': 2, 'input_size': 100}",0.9661016949152542,0.9767441860465116,0.96,0.9791666666666666,0.9375,1.0,0.9137931034482759,0.98,0.9833333333333333,0.9387755102040817,0.9635414494614123,0.02489134712287782,1,75
2,4.457613134384156,0.07648473050394983,0.061101436614990234,0.0017644595155544942,64,3,100,"{'hiden_dims': 64, 'hiden_layers': 3, 'input_size': 100}",0.9661016949152542,0.9767441860465116,0.96,0.9791666666666666,0.9166666666666666,0.9795918367346939,0.8793103448275862,0.96,0.9666666666666667,0.9591836734693877,0.9543431735993433,0.030302659683181663,11,75
3,4.872423839569092,0.14266820062401628,0.06735901832580567,0.003251376552854551,64,4,100,"{'hiden_dims': 64, 'hiden_layers': 4, 'input_size': 100}",0.9661016949152542,0.9767441860465116,0.98,0.9375,0.9166666666666666,1.0,0.8620689655172413,0.96,0.95,0.9183673469387755,0.9467448860084449,0.03790568700269812,16,75
4,3.952779936790466,0.12541229055374087,0.051372194290161134,0.0027241932917097074,128,1,100,"{'hiden_dims': 128, 'hiden_layers': 1, 'input_size': 100}",0.9322033898305084,0.9534883720930233,0.92,0.9791666666666666,0.9375,1.0,0.8793103448275862,0.94,1.0,0.9591836734693877,0.9500852446887172,0.03523794412000541,14,75
5,4.205241227149964,0.03730687503567773,0.05651149749755859,0.0030892237862821087,128,2,100,"{'hiden_dims': 128, 'hiden_layers': 2, 'input_size': 100}",0.9322033898305084,0.9534883720930233,0.96,0.9791666666666666,0.9375,1.0,0.896551724137931,0.98,0.9833333333333333,0.9183673469387755,0.9540610833000238,0.031047322888716308,12,75
6,4.595561671257019,0.17325544520836544,0.06234786510467529,0.0019430181956307461,128,3,100,"{'hiden_dims': 128, 'hiden_layers': 3, 'input_size': 100}",0.9491525423728814,0.9767441860465116,0.94,0.9583333333333334,0.9583333333333334,1.0,0.9137931034482759,0.98,0.9833333333333333,0.9591836734693877,0.9618873505337057,0.023341289297954065,4,75
7,4.878176999092102,0.15873164811534948,0.06700618267059326,0.0033113237360711174,128,4,100,"{'hiden_dims': 128, 'hiden_layers': 4, 'input_size': 100}",0.9661016949152542,0.9767441860465116,0.98,0.9583333333333334,0.9375,1.0,0.9137931034482759,0.96,0.9833333333333333,0.9591836734693877,0.9634989324546096,0.023204286380210788,2,75
8,3.8668328285217286,0.04797764161073523,0.05182130336761474,0.002694123588930079,256,1,100,"{'hiden_dims': 256, 'hiden_layers': 1, 'input_size': 100}",0.9491525423728814,0.9767441860465116,0.98,0.9791666666666666,0.9375,0.9795918367346939,0.8793103448275862,0.98,0.9833333333333333,0.9387755102040817,0.9583574420185753,0.031518645556627985,6,75
9,4.317642068862915,0.138091979030123,0.058571910858154295,0.006953216850794478,256,2,100,"{'hiden_dims': 256, 'hiden_layers': 2, 'input_size': 100}",0.9322033898305084,0.9767441860465116,0.96,0.9583333333333334,0.9583333333333334,1.0,0.896551724137931,0.96,1.0,0.9387755102040817,0.9580941476885698,0.029493075128692228,8,75
10,4.619713926315308,0.16981412784739963,0.06312899589538574,0.003180770787399335,256,3,100,"{'hiden_dims': 256, 'hiden_layers': 3, 'input_size': 100}",0.9491525423728814,0.9767441860465116,0.98,0.9791666666666666,0.9375,1.0,0.8448275862068966,0.98,0.9833333333333333,0.9591836734693877,0.9589907988095676,0.041798632844142876,5,75
11,4.935487222671509,0.08199538718525125,0.06590836048126221,0.0021475567694602938,256,4,100,"{'hiden_dims': 256, 'hiden_layers': 4, 'input_size': 100}",0.9661016949152542,1.0,0.9,0.9791666666666666,0.9791666666666666,0.9795918367346939,0.9137931034482759,0.96,0.95,0.9387755102040817,0.9566595478635638,0.029882709082311335,9,75
12,3.987134408950806,0.19704615550405646,0.053107476234436034,0.0027734646967854434,512,1,100,"{'hiden_dims': 512, 'hiden_layers': 1, 'input_size': 100}",0.9322033898305084,0.9534883720930233,0.98,0.9791666666666666,0.9375,1.0,0.896551724137931,0.96,0.9833333333333333,0.9591836734693877,0.9581427159530851,0.02867919707563949,7,75
13,4.326236963272095,0.060047372848897225,0.05597090721130371,0.0016510500856248783,512,2,100,"{'hiden_dims': 512, 'hiden_layers': 2, 'input_size': 100}",0.9152542372881356,0.9767441860465116,0.96,0.9791666666666666,0.9583333333333334,0.9795918367346939,0.8620689655172413,0.98,0.95,0.9387755102040817,0.9499934735790664,0.03546292539312901,15,75
14,4.956252121925354,0.1718762284464144,0.06352362632751465,0.004105182439093773,512,3,100,"{'hiden_dims': 512, 'hiden_layers': 3, 'input_size': 100}",0.8983050847457628,1.0,0.96,0.9791666666666666,1.0,1.0,0.896551724137931,0.98,0.9666666666666667,0.9387755102040817,0.9619465652421108,0.037224104607540755,3,75
